Case_ID,PUBLISH DATE,PUBLISH TIME,AUTHOR,COMMENT,SOURCE,URL,SENTIMENT,COMMENT TYPE,AREAS AFFECTED,WEIBO TYPE
Weibo_P_11,04/03/2014,1521,鲁宝松 ,三月中旬跟公司一起去菲律宾旅游的同事在当地意外扭伤了脚，在当地就医，回来及时申请意外门急诊理赔，中宏启动了理赔程序，太给力了！国际化的大公司就是好呀！全球理赔，非常快速！易变的岁月，不变的承诺，我们的客户走到哪里都有中宏保险为您提供保障！/强,Reader,http://t.qq.com/p/t/345644017508381,Positive,G,Products/Service,Tencent
Weibo_P_12,04/03/2014,1656,高翔 ,从事保险事业只为对生命的尊重，和对家人的爱与责任 中宏人寿保险,Reader,http://t.qq.com/p/t/369252115013735,Neutral,G,Ads/Marketing,Tencent
Weibo_P_13,04/03/2014,2140,叶琳 ,三月中旬跟公司一起去菲律宾旅游的同事在当地意外扭伤了脚，在当地就医，回来及时申请意外门急诊理赔，中宏启动了理赔程序，太给力了！当天递交资料当天审核通过！国际化的大公司就是好呀！全球理赔，非常快速！易变的岁月，不变的承诺，我们的客户走到哪里都有中宏保险为您提供保障！/强,Reader,http://t.qq.com/p/t/391298024314880,Positive,G,Products/Service,Tencent
Weibo_P_14,04/04/2014,922,虞芳 ,易变的岁月，不变的承诺，中宏保险为您的家人保驾护航！ ,Reader,http://t.qq.com/p/t/371647038244688,Neutral,G,Ads/Marketing,Tencent
Weibo_P_15,04/04/2014,1433,陈时友 ,我现在在 中宏保险做理财顾问。中宏保险是由加拿大宏利金融(世界500强)和中国中化集团(世界500强)合资组建的。中宏是2008年奥运会唯一寿险合作伙伴。有家庭保障、教育基金和养老的考虑的 我们可以探讨一下。公司网址:www.manulife–sinochem.com ,Reader,http://t.qq.com/p/t/402602100240324,Neutral,G,Ads/Marketing,Tencent
Weibo_P_16,04/04/2014,1535,周栓授 ,让爱走出去，中宏保险为重庆云阳开展义卖 】不经意间，再一次看到这个视频，感谢为这些小朋友献上愛心的客户朋友们，有你们的支持，让愛继续走出去。 (分享自 @Qzone) http://url.cn/RThVZY ,Reader,http://t.qq.com/p/t/369851036524957,Neutral,G,Charity Events,Tencent
Weibo_P_17,04/04/2014,1701,Asuke ,中宏人寿-腾跃理财团队竭诚为您服务！,Reader,http://t.qq.com/p/t/372045124307672,Neutral,G,Ads/Marketing,Tencent
Weibo_P_18,04/05/2014,1129,聚贤理财_..,中宏保险聚贤理财七周年庆，与您一同见证，共创未来[围观][威武],Reader,http://weibo.com/1406403184/AEgjbuK2A,Neutral,G,Sponsored Events,Sina
Weibo_P_19,04/08/2014,1318,高翔 ,从事保险事业只为对生命的尊重，和对家人的爱与责任 中宏人寿保险 ,Reader,http://t.qq.com/p/t/372750093991978,Neutral,G,Ads/Marketing,Tencent
Weibo_P_20,04/08/2014,1409,黄宜平 ,感谢中宏人寿L老师对太平人寿及太平重疾险的认可，本次给一家三口加保“太平福利健康C款保障计划”，全家累计重疾保额：自己80万，先生80万，孩子50万。太平保险，享誉业界！ ,Reader,http://t.qq.com/p/t/352148012658892,Neutral,G,General Mentioned,Tencent
Weibo_P_21,04/08/2014,1415,阳光天使 ,感谢中宏人寿L老师对太平人寿及太平重疾险的认可，本次给一家三口加保“太平福利健康C款保障计划”，全家累计重疾保额：自己80万，先生80万，孩子50万。太平保险，享誉业界！（转自黄宜平老师） ,Reader,http://t.qq.com/p/t/393761116107121,Neutral,G,General Mentioned,Tencent
Weibo_P_22,04/08/2014,1518,再见亦是朋友 ,/z礼花/z礼花特大好消息：中宏保险重磅推出市场领先且具有强大竞争力的重疾保障产品＂长保安康＂融多重重大疾病保障，额外疾病保障，生命末期利益给付，身故保障及重疾豁免缴费于一体，更是首款拥有健康增值两项独有服务1.电话医生 2.国内重疾二次诊疗，为回馈老客户，限时销售（免保费一年/强最后这个4月哦/鼓 ,Reader,http://t.qq.com/p/t/375744112230158,Neutral,G,Products/Service,Tencent
Weibo_P_23,04/08/2014,1519,蔡国福 ,感谢中宏人寿L老师对太平人寿及太平重疾险的认可，本次给一家三口加保“太平福利健康C款保障计划”，全家累计重疾保额：自己80万，先生80万，孩子50万。太平保险，享誉业界！ ,Reader,http://t.qq.com/p/t/332151090155054,Neutral,G,General Mentioned,Tencent
Weibo_P_24,04/08/2014,1753,顾海生 ,低碳环保|易变的岁月 不变的承诺 ～中宏保险 ,Reader,http://t.qq.com/p/t/375844128013494,Neutral,G,Ads/Marketing,Tencent
Weibo_P_25,04/08/2014,1854,郭晨 ,中宏保险再次领先市场：全新推出家庭医生服务/微笑买保险，送家庭医生，专业解答有关饮食、养生、运动、疾病防治和预防、就医、用药、康复等方面的健康困惑/可爱并且免费提供重大疾病国内二次诊疗服务！贴心服务，关爱您和家人/微笑 ,Reader,http://t.qq.com/p/t/405104006714378,Neutral,G,Products/Service,Tencent
Weibo_P_26,04/08/2014,1943,xumohuo,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！ 关爱生命关爱健康啊！！！,Reader,http://t.qq.com/p/t/370056084022632,Neutral,G,Corporate News,Tencent
Weibo_P_27,04/08/2014,2053,F3梦的力量 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！ 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！,Reader,http://t.qq.com/p/t/378141064046418,Neutral,G,Corporate News,Tencent
Weibo_P_28,04/08/2014,2214,嵇昆,中宏保险管理学院，结合当下事业，财务，家庭和人际关系等的现状，推出第一期心灵成长之旅。 时间:4月13号(本周日)9:00-17:30 地点:凯旋路228号，聆悦商务酒店2楼会议室。 心灵成长之旅开设Focus on you、Disc性向分析、打开心灵密码、如鱼得水、相约成功等众多有价值的课程，由中宏保险有实战经验,Reader,http://t.qq.com/p/t/369458069501952,Neutral,G,Sponsored Events,Tencent
Weibo_P_29,04/08/2014,2229,闫明丽,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！,Reader,http://t.qq.com/p/t/331652006688969,Neutral,G,Corporate News,Tencent
Weibo_P_30,04/08/2014,2239,张琴芳,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！,Reader,http://t.qq.com/p/t/369458073807474,Neutral,G,Corporate News,Tencent
Weibo_P_31,04/08/2014,2240,转身,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！,Reader,http://t.qq.com/p/t/393862038991956,Neutral,G,Corporate News,Tencent
Weibo_P_32,04/08/2014,2331,怡梓轩-健康减肥,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于���疗！健康很重要！！,Reader,http://t.qq.com/p/t/375845043793641,Neutral,G,Corporate News,Tencent
Weibo_P_33,04/09/2014,2426,徐晶晶,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！,Reader,http://t.qq.com/p/t/402008047581263,Neutral,G,Corporate News,Tencent
Weibo_P_34,04/09/2014,109,张,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！,Reader,http://t.qq.com/p/t/375047096060908,Neutral,G,Corporate News,Tencent
Weibo_P_35,04/09/2014,558,美好时光--健康减肥,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！,Reader,http://t.qq.com/p/t/370257001510169,Neutral,G,Corporate News,Tencent
Weibo_P_36,04/09/2014,638,蔷薇,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！,Reader,http://t.qq.com/p/t/397414049989887,Neutral,G,Corporate News,Tencent
Weibo_P_37,04/09/2014,924,吃饭减肥安全健康,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！[泪][泪][泪] 关爱生命关爱健康，又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ 我在:http://t.cn/8souCD6 ,Reader,http://weibo.com/1632072673/AERctrfcT,Neutral,G,Corporate News,Sina
Weibo_P_38,04/09/2014,723,光辰彩妆造型 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康，又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/395616092470987,Neutral,G,Corporate News,Tencent
Weibo_P_39,04/09/2014,739,思甜 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/399611062910735,Neutral,G,Corporate News,Tencent
Weibo_P_40,04/09/2014,758,黄浩哲 ,"

盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！丨",Reader,http://t.qq.com/p/t/400011045532867,Neutral,G,Corporate News,Tencent
Weibo_P_41,04/09/2014,806,甘智慧 ,盐城市中宏人寿老总李勇，前天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/372251077226794,Neutral,G,Corporate News,Tencent
Weibo_P_42,04/09/2014,809,孙霞 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！,Reader,http://t.qq.com/p/t/377443020774751,Neutral,G,Corporate News,Tencent
Weibo_P_43,04/09/2014,811,韦承坊 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/371953046963868,Neutral,G,Corporate News,Tencent
Weibo_P_44,04/09/2014,814,颜红霞 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/311193120018161,Neutral,G,Corporate News,Tencent
Weibo_P_45,04/09/2014,847,徐翠萍 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏脂肪！预防大于治疗！健康很重要！！！/爱心 ,Reader,http://t.qq.com/p/t/404804072792594,Neutral,G,Corporate News,Tencent
Weibo_P_46,04/09/2014,849,章瑞娟 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！ 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！ ,Reader,http://t.qq.com/p/t/368859121906623,Neutral,G,Corporate News,Tencent
Weibo_P_47,04/09/2014,858,晶 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！丨 ,Reader,http://t.qq.com/p/t/339650105902868,Neutral,G,Corporate News,Tencent
Weibo_P_48,04/09/2014,901,天涯海角梦含 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/393962073319123,Neutral,G,Corporate News,Tencent
Weibo_P_49,04/09/2014,916,黄花香 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/374348103713917,Neutral,G,Corporate News,Tencent
Weibo_P_50,04/09/2014,927,nbwukeke ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！关爱生命关爱健康啊！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！,Reader,http://t.qq.com/p/t/400909064637292,Neutral,G,Corporate News,Tencent
Weibo_P_51,04/09/2014,929,开心娃娃 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康，又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/384581072627273,Neutral,G,Corporate News,Tencent
Weibo_P_52,04/09/2014,931,轩中伟 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/341149008827751,Neutral,G,Corporate News,Tencent
Weibo_P_53,04/09/2014,933,零点零一分 ,/z爱的礼物盐城市中宏人寿保险公司老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 做保险也要关爱生命关爱健康啊！！！留下百万保险金也无法弥补对家人的伤害和损失啊！/难过/难过又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！ ,Reader,http://t.qq.com/p/t/379839030840176,Neutral,G,Corporate News,Tencent
Weibo_P_54,04/09/2014,936,祢若安好便是晴,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！ 亲爱的朋友们关爱生命关爱健康啊！。昨天第一时间，公司的高层赵总，林总就跟家属见面，并承诺帮助李总孩子承担以后所有学费，直至完成学业。 今天，各分公司自发进行了募捐。,Reader,http://t.qq.com/p/t/400809062661437,Neutral,G,Corporate News,Tencent
Weibo_P_55,04/09/2014,943,冬梅 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其���内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/374048109458894,Neutral,G,Corporate News,Tencent
Weibo_P_56,04/09/2014,947,侯会霞 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/337650114879112,Neutral,G,Corporate News,Tencent
Weibo_P_57,04/09/2014,1007,高翔 ,从事保险事业只为对生命的尊重，和对家人的爱与责任 中宏人寿保险 ,Reader,http://t.qq.com/p/t/378141125951881,Neutral,G,Ads/Marketing,Tencent
Weibo_P_58,04/09/2014,1024,海燕 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/372751085160507,Neutral,G,Corporate News,Tencent
Weibo_P_59,04/09/2014,1026,贾丹丹 ,刚看到伙伴发的消息/流泪精英们都是拿着健康透支生命及撒手的事业啊!我们賺回的是健康、美丽、财富+迪拜游，可看懂的人真不多唉/发呆/发呆 盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭关爱生命关爱健康啊！又是一个胖子，脂肪的危害！尤其是 ,Reader,http://t.qq.com/p/t/323506097972051,Neutral,G,Corporate News,Tencent
Weibo_P_60,04/09/2014,1031,月笼青纱 ,盐城分公司中宏人寿老总李勇，昨天中午不舒服自行驾车去南三院就医、挂水，下午二点生命永远定格在了46岁！ 亲爱的朋友们关爱生命关爱健康啊！ 昨天第一时间，公司的高层赵总，林总就跟家属见面，并承诺帮助李总孩子承担以后所有学费，直至完成学业。因李总的爱人一直没有工作，今,Reader,http://t.qq.com/p/t/397414070047387,Neutral,G,Corporate News,Tencent
Weibo_P_61,04/09/2014,1034,多多营养屋 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/370855081415314,Neutral,G,Corporate News,Tencent
Weibo_P_62,04/09/2014,1035,多多营养屋 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/400909071376903,Neutral,G,Corporate News,Tencent
Weibo_P_63,04/09/2014,1036,沫沫 ,"

盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！ 我就不明白， 做保险就不需要关注健康吗？ 做保险就不明白预防大于治疗吗？ 做保险就不怕自己和家人的身体出现问题吗？？？ 就算留下身后百万保险金，又 ",Reader,http://t.qq.com/p/t/332152041900244,Neutral,G,Corporate News,Tencent
Weibo_P_64,04/09/2014,1105,周建喜 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！人走了 赔偿再多的钱又有啥用 ,Reader,http://t.qq.com/p/t/379839040541979,Neutral,G,Corporate News,Tencent
Weibo_P_65,04/09/2014,1108,王海青 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭关爱生命关爱健康啊！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！ ,Reader,http://t.qq.com/p/t/400711054258282,Neutral,G,Corporate News,Tencent
Weibo_P_66,04/09/2014,1130,闵芬芳 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/331152047205963,Neutral,G,Corporate News,Tencent
Weibo_P_67,04/09/2014,1147,胡中华 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ 一路走好！！ ,Reader,http://t.qq.com/p/t/404005079147255,Neutral,G,Corporate News,Tencent
Weibo_P_68,04/09/2014,1229,秦秀梅 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！���！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！,Reader,http://t.qq.com/p/t/372251106343554,Neutral,G,Corporate News,Tencent
Weibo_P_69,04/09/2014,1234,11012,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！人走了 赔偿再多的钱又有啥用 ,Reader,http://t.qq.com/p/t/332652054213215,Neutral,G,Corporate News,Tencent
Weibo_P_70,04/09/2014,1242,婴儿 ,盐城市中宏人寿老总李勇，4月7日中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/378940103853379,Neutral,G,Corporate News,Tencent
Weibo_P_71,04/09/2014,1254,董敏 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！预防大于治疗，身体是最昂贵的本钱， ,Reader,http://t.qq.com/p/t/343149026984817,Neutral,G,Corporate News,Tencent
Weibo_P_72,04/09/2014,1256,何春强 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！/大哭/大哭/大哭 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！ ,Reader,http://t.qq.com/p/t/373051005197378,Neutral,G,Corporate News,Tencent
Weibo_P_73,04/09/2014,1345,海洋之心 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！ 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！人走了 赔偿再多的钱又有啥用？？ 各位跟他同样每天忙忙碌碌，各种饭局应酬的转一个吧！自己提醒一下自己， ,Reader,http://t.qq.com/p/t/399811098427576,Neutral,G,Corporate News,Tencent
Weibo_P_74,04/09/2014,1347,刘夏 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！[em]e137[/em][em]e137[/em] 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏脂肪！预防大于治疗！健康很重要！！！[em]e185[/em][em]e185[/em] ,Reader,http://t.qq.com/p/t/329652064078999,Neutral,G,Corporate News,Tencent
Weibo_P_75,04/09/2014,1359,怎么瞭晚秋 ,盐城市中宏人寿老总李勇，昨天中午不舒服在南三院挂水，下午二点生命永远定格在了46岁！ 关爱生命关爱健康啊！！！又是一个胖子，脂肪的危害！尤其是内脏的脂肪！预防大于治疗！健康很重要！！人走了 赔偿再多的钱又有啥用？？ 各位跟他同样每天忙忙碌碌，各种饭局应酬的转一个吧！自己提醒一下自己， ,Reader,http://t.qq.com/p/t/400011082916279,Neutral,G,Corporate News,Tencent
