Case_ID,PUBLISH DATE,PUBLISH TIME,AUTHOR,COMMENT,SOURCE,TYPE,SENTIMENT,COMMENT TYPE,AREAS AFFECTED
Weibo_M_20,04/02/2014,1738,河南平安赵耿 ,"转发微博 @中宏保险 

医学统计报告显示，女性特有癌症的四大杀手为：乳腺癌、宫颈癌、卵巢癌、子宫内膜癌。这些高发性癌症具有治愈率高、存活率高、存活期长的特点。与此相对应地，其所需的治疗费用、康复费用高，还可能影响工作造成收入损失。保险理财专家表示，女性为自己购买一份保障很有必要，可以未雨绸缪，早做准备。",Reader,Received Comment,Neutral,G,Products/Service
Weibo_M_21,04/02/2014,1748,RFC薛凡,"转发微博 @中宏保险 

医学统计报告显示，女性特有癌症的四大杀手为：乳腺癌、宫颈癌、卵巢癌、子宫内膜癌。这些高发性癌症具有治愈率高、存活率高、存活期长的特点。与此相对应地，其所需的治疗费用、康复费用高，还可能影响工作造成收入损失。保险理财专家表示，女性为自己购买一份保障很有必要，可以未雨绸缪，早做准备。",Reader,Received Comment,Neutral,G,Products/Service
Weibo_M_22,04/02/2014,1815,Chen_陈剑婵,"转发微博 @中宏保险 

医学统计报告显示，女性特有癌症的四大杀手为：乳腺癌、宫颈癌、卵巢癌、子宫内膜癌。这些高发性癌症具有治愈率高、存活率高、存活期长的特点。与此相对应地，其所需的治疗费用、康复费用高，还可能影响工作造成收入损失。保险理财专家表示，女性为自己购买一份保障很有必要，可以未雨绸缪，早做准备。 ",Reader, @My Microblog,Neutral,G,Products/Service
Weibo_M_23,04/02/2014,1901,善缘3439,"[xkl轉圈] [話筒] ‘人这一生 终究会患重疾大病的... 重疾险人人需要！’ 请关注 @中宏保险 @中宏保险河北石家庄分公司 联系人 18032199087 胡先生 [話筒] [話筒] [話筒] //@Lou一生平安:@善缘3439 @茉莉芳馨 

SOS！河北涞水男孩娄佳兴急性髓细胞白血病盼救助重返校园！银行汇款:中国银行北京西翠路支行,户名:中华少年儿童慈善救助基金会,账号:320756027856,务必注明爱心家园-娄佳兴。支付宝及网银在线捐助通道：http://t.cn/8F4dq6o 微公益|[个人求助]河北涞水优等生娄佳兴急性非淋巴白血病盼救助盼重返校 [心]@Lou一生平安 http://t.cn/8F4d7uD ",Reader, @My Microblog,Neutral,G,Ads/Marketing
Weibo_M_24,04/02/2014,1939,Lou一生平安,"//@善缘3439: [xkl轉圈] [話筒] ‘人这一生 终究会患重疾大病的... 重疾险人人需要！’ 请关注 @中宏保险 @中宏保险河北石家庄分公司 联系人 18032199087 胡先生 [話筒] [話筒] [話筒] //@Lou一生平安:@善缘3439 @茉莉芳馨 

SOS！河北涞水男孩娄佳兴急性髓细胞白血病盼救助重返校园！银行汇款:中国银行北京西翠路支行,户名:中华少年儿童慈善救助基金会,账号:320756027856,务必注明爱心家园-娄佳兴。支付宝及网银在线捐助通道：http://t.cn/8F4dq6o 微公益|[个人求助]河北涞水优等生娄佳兴急性非淋巴白血病盼救助盼重返校 [心]@Lou一生平安 http://t.cn/8F4d7uD ",Reader, @My Microblog,Neutral,G,Ads/Marketing
Weibo_M_25,04/02/2014,1940,Lou一生平安,"//@Lou一生平安: //@善缘3439: [xkl轉圈] [話筒] ‘人这一生 终究会患重疾大病的... 重疾险人人需要！’ 请关注 @中宏保险 @中宏保险河北石家庄分公司 联系人 18032199087 胡先生 [話筒] [話筒] [話筒] //@Lou一生平安:@善缘3439 @茉莉芳馨 

SOS！河北涞水男孩娄佳兴急性髓细胞白血病盼救助重返校园！银行汇款:中国银行北京西翠路支行,户名:中华少年儿童慈善救助基金会,账号:320756027856,务必注明爱心家园-娄佳兴。支付宝及网银在线捐助通道：http://t.cn/8F4dq6o 微公益|[个人求助]河北涞水优等生娄佳兴急性非淋巴白血病盼救助盼重返校 [心]@Lou一生平安 http://t.cn/8F4d7uD ",Reader, @My Microblog,Neutral,G,Ads/Marketing
Weibo_M_26,04/02/2014,1941,善缘3439,"[疑問] [吃驚] [衰] 请关注 @中宏保险 @中宏保险河北石家庄分公司 联系人 18032199087 胡先生 [話筒] @jerry是律师 

某患者因主动脉夹层，剧烈胸痛，辗转到某三甲医院。周五入院，原定周一手术，结果莫名其妙的被延误到周三，结果周三凌晨，患者死亡。该种疾病，应该急诊手术，而不是择期。。。 ",Reader, @My Microblog,Neutral,G,Ads/Marketing
Weibo_M_27,04/02/2014,1956,善缘3439,"回覆@jerry是律师: 未来的医疗纠纷都会由保险公司来出面理赔的...[思考] //@jerry是律师:请不要推销保险，医疗损害不属于意外险赔付范围 //@善缘3439:[疑問] [吃驚] [衰] 请关注 @中宏保险 @中宏保险河北石家庄分公司 联系人 18032199087 胡先生 [話筒] @jerry是律师 

某患者因主动脉夹层，剧烈胸痛，辗转到某三甲医院。周五入院，原定周一手术，结果莫名其妙的被延误到周三，结果周三凌晨，患者死亡。该种疾病，应该急诊手术，而不是择期。。。 ",Reader, @My Microblog,Neutral,G,Ads/Marketing
Weibo_M_28,04/02/2014,2138,恋爱中的zero ,"转发微博 @中宏保险 

医学统计报告显示，女性特有癌症的四大杀手为：乳腺癌、宫颈癌、卵巢癌、子宫内膜癌。这些高发性癌症具有治愈率高、存活率高、存活期长的特点。与此相对应地，其所需的治疗费用、康复费用高，还可能影响工作造成收入损失。保险理财专家表示，女性为自己购买一份保障很有必要，可以未雨绸缪，早做准备。",Reader, @My Microblog,Neutral,G,Products/Service
Weibo_M_29,04/02/2014,2144,乐施-乐诗儿 ,"转发微博 @中宏保险 

医学统计报告显示，女性特有癌症的四大杀手为：乳腺癌、宫颈癌、卵巢癌、子宫内膜癌。这些高发性癌症具有治愈率高、存活率高、存活期长的特点。与此相对应地，其所需的治疗费用、康复费用高，还可能影响工作造成收入损失。保险理财专家表示，女性为自己购买一份保障很有必要，可以未雨绸缪，早做准备。 ",Reader, @My Microblog,Neutral,G,Products/Service
Weibo_M_30,04/02/2014,2223,xiaoxin真我的风采,"转发微博@中宏保险

关爱星星的孩子。4月2日，是自闭症孩子的节日，是全社会共同关注、关爱自闭症孩子的日子。自闭症，医学上也称孤独症，是一种严重的精神发育障碍，主要特征是漠视情感、拒绝交流、语言发育迟滞、行为重复刻板以及活动和兴趣范围的显著局限性等。父母陪伴孩子健康成长，是一种爱，更是一种责任。",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_31,04/02/2014,2338,安联Jeffrey,转发微博 ,Reader,Received Comment,Neutral,G,Life Comprehend
Weibo_M_32,04/03/2014,812,昂刺鱼8575,"转发微博
◆
◆
@中宏保险
人生没有如果，只有后果和结果。过去的不再回来，回来的不再完美。生活有进退，输什么也不能输心情。生活最大的幸福就是，坚信有人爱着我。对于过去，不可忘记，但要放下。因为有明天，今天永远只是起跑线。生活简单就迷人，人心简单就幸福；学会简单其实不简单。早上好！",Reader,Received Comment,Neutral,G,Life Comprehend
Weibo_M_33,04/03/2014,838,海蓝色的天空2012,"转发微博
◆
◆
@中宏保险
人生没有如果，只有后果和结果。过去的不再回来，回来的不再完美。生活有进退，输什么也不能输心情。生活最大的幸福就是，坚信有人爱着我。对于过去，不可忘记，但要放下。因为有明天，今天永远只是起跑线。生活简单就迷人，人心简单就幸福；学会简单其实不简单。早上好！",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_34,04/03/2014,1514,舒茗50 ,"转发微博◆◆@中宏保险
人生没有如果，只有后果和结果。过去的不再回来，回来的不再完美。生活有进退，输什么也不能输心情。生活最大的幸福就是，坚信有人爱着我。对于过去，不可忘记，但要放下。因为有明天，今天永远只是起跑线。生活简单就迷人，人心简单就幸福；学会简单其实不简单。早上好！",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_35,04/03/2014,1535,微博小秘书,想在春天里做点好玩的事情吗？那赶紧跟上节奏吧！微博大型品牌活动，#随手拍招商啦#~！超火爆的开放性活动平台期待企业们的加入~上亿曝光资源，明星大V倾情助阵，即将掀起全民拍照狂潮！您可以拨打企业客服热线：4000-980-980或 私信@企业微博助理 申请加入。这个春天，让我们一起在#随手拍#嗨翻天！了解详情：http://t.cn/8siqzhW,Reader,Private Message,Irrelevant,G,Irrelevant Ads
Weibo_M_36,04/03/2014,2152,中宏保险吴海静 ,"转发微博 @中宏保险 

【健康养生】每天早上坚持两项运动，缓解颈椎病：1、两脚齐肩站立，头向上看，手高举，胳膊向后旋转360度，一共50次。2、背紧贴墙，两手平举贴墙向上举起，再回落，来回30下。每天只花5-10分钟，坚持一段时间就能看到效果。电脑族们，一起行动起来！ ",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_37,04/03/2014,2208,古君羽,想了解,Reader,Private Message,Neutral,G,Products/Service
Weibo_M_38,04/03/2014,2233,小美猫Olivia,转发微博 如果你能付出一片绿叶，就能收获整个春天；如果你能容下一点瑕疵，就能得到一块美玉。许多的事，不去试，就注定没有结果。只有冒险去做了，才有真正的结果。至少会知道，什么样的方法或什么样的路才最适合你。晚安！,Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_39,04/04/2014,631,伍耀东,"中宏保险
孤独——实力不够强大的时候，人人都离你是远的。危机——危机是不可预料的，你不知道明天和失败哪个先来。感恩——生，不容易，活，不容易，生活更不容易。鄙视——遭遇鄙视是因为你对别人有威胁，或者有价值，是值得欣慰的。无畏——没有人可以打倒你，打倒你的只有你自己。晚安！",Reader,Received Comment,Neutral,G,Life Comprehend
Weibo_M_40,04/04/2014,953,阿龙哥BLOG ,备胎？！◆◆@中宏保险据统计，我国癌症患者年平均治疗费用10万元左右，对于北京和上海等大城市而言，癌症的年治疗费用超过30万元。随着医疗技术的进步，治疗癌症的特效药品越来越先进，副作用越来越小，但却意味医疗费用更加昂贵，通常这些费用不属于社保报销范围。专家表示，适当补充商业医疗险，就如车子的备用轮胎。 ,Reader,Received Comment,Neutral,G,Products/Service
Weibo_M_41,04/04/2014,1002,58搜财众保网,还是要提高人们的保险意识@58搜财卢扬洲 @58搜财网 @保险优选 @保险趁早◆◆@中宏保险 据统计，我国癌症患者年平均治疗费用10万元左右，对于北京和上海等大城市而言，癌症的年治疗费用超过30万元。随着医疗技术的进步，治疗癌症的特效药品越来越先进，副作用越来越小，但却意味医疗费用更加昂贵，通常这些费用不属于社保报销范围。专家表示，适当补充商业医疗险，就如车子的备用轮胎。,Reader, @My Microblog,Neutral,G,Products/Service
Weibo_M_42,04/04/2014,1007,144梅梅 ,转发微博◆◆@中宏保险据统计，我国癌症患者年平均治疗费用10万元左右，对于北京和上海等大城市而言，癌症的年治疗费用超过30万元。随着医疗技术的进步，治疗癌症的特效药品越来越先进，副作用越来越小，但却意味医疗费用更加昂贵，通常这些费用不属于社保报销范围。专家表示，适当补充商业医疗险，就如车子的备用轮胎。,Reader,Received Comment,Neutral,G,Products/Service
Weibo_M_43,04/04/2014,1334,蒲公英0901 ,转发微博◆◆@中宏保险【职场语录】你能不能解决问题，要看你是否被赋予了你相应的权利；当你有权利解决问题时，要看你是否具有这样的能力。结论：权利不等于能力；能力也不等于权利，职场大多如此。 ,Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_44,04/04/2014,1449,你的秋水伊人 , @中宏保险 不是说你们的服务理念是以客为尊吗？其他不说了，二个客服热线工作人员都是先挂我电话的你们好屌啊 我在这里,Reader, @My Microblog,Negative,C,Customer Service
Weibo_M_45,04/04/2014,1551,有活力的小兔,亲，在吗？,Reader,Private Message,Neutral,G,Products/Service
Weibo_M_46,04/04/2014,1804,RFC薛凡,转发微博◆◆@中宏保险世界卫生组织提出：1/3的癌症是可以预防的；1/3的癌症通过早发现、早诊断、早治疗可以治愈。每个人都梦想拥有健康幸福的人生，但无人能保证癌症不会发生在自己身上。专家表示，选择一款合适的防癌类保险，通过较少的支出，转嫁因癌症治疗造成的家庭财务风险。保持良好生活习惯，为自己健康负责。,Reader,Received Comment,Neutral,G,Products/Service
Weibo_M_47,04/04/2014,2014,子墨馨尘 ,转发微博◆◆@中宏保险【健康养生】一年之计在于春，常做三件事，为健康打好基础。第一招，排毒喝花茶。因为冬天热性食物吃得过多，春天就必须给自己的肠胃减减负，清肠排毒了。第二招，晨练拉拉筋。适当抻拉韧带有助身体气血畅通，甚至可起到祛痛和排毒的效果。第三招，多吃芽类蔬菜。如，豆芽、豆苗、春笋、蒜苗、芽菜等。,Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_48,04/04/2014,2025,子墨馨尘 ,转发微博◆◆@中宏保险【健康养生】每天早上坚持两项运动，缓解颈椎病：1、两脚齐肩站立，头向上看，手高举，胳膊向后旋转360度，一共50次。2、背紧贴墙，两手平举贴墙向上举起，再回落，来回30下。每天只花5-10分钟，坚持一段时间就能看到效果。电脑族们，一起行动起来！,Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_49,04/04/2014,2036,子墨馨尘 ,转发微博◆◆@中宏保险【职场饮食】春季吃莴笋的功用：莴笋又叫“春菜”，是最适合春季吃的蔬菜之一，同时还可抗过敏。莴笋含丰富的维生素、钙、镁、膳食纤维等成分。日本研究发现，莴笋中的某种物质可以抵抗春季因过敏而引发的鼻炎，能够缓解过敏病人的痛苦。莴笋可以用来凉拌、烧、炒，还能加工腌制酱菜、泡菜等。,Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_50,04/04/2014,2043,子墨馨尘 ,转发微博◆◆@中宏保险【健康养生】在衣柜内放置超过3个月以上的衣物会孳生螨虫，并带有一些病菌和过敏原，换季时若直接拿来穿，容易导致皮肤问题，贴身衣物更是如此。所以，换季衣服穿之前一定要先晒晒。晒衣物最好选在上午10点到下午4点之间，尤其是中午12点到下午3点，紫外线功效最强，晾晒时间以3小时为宜。,Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_51,04/05/2014,552,AIA友邦昆山罗云东,"转发微博
◆
◆
@中宏保险
有些机会，因瞬间犹豫，擦肩而过；有些缘分，因一时任性，指尖滑落；有些感情，因一时冲动，遗憾终生；凡事要好好珍惜，莫轻言放弃，时刻懂得体味幸福才是完美的人生。晚安！",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_52,04/05/2014,913,龙风同学,"转发微博
◆
◆
@中宏保险
清明多缅怀,有些人有些事有些爱,当我们懂得的时候他们已经离开,逝去的虽然回不来,但请珍惜现在。面对大海,春暖花开！早安！",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_53,04/05/2014,1136,心安草GCH ,"转发微博
◆◆@中宏保险 
看得破的人，处处都是生机；看不破的人，处处都是困境。拿得起的人，处处都是担当；拿不起的人，处处都是疏忽。放得下的人，处处都是大道；放不下的人，处处都是迷途。想得开的人，处处都是春天；想不开的人，处处都是凋枯。做何人，在自己；小自我，大天地。早安！ ",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_54,04/05/2014,1944,乐乐CY ,"转发微博
◆◆@中宏保险 
【健康养生】一年之计在于春，常做三件事，为健康打好基础。第一招，排毒喝花茶。因为冬天热性食物吃得过多，春天就必须给自己的肠胃减减负，清肠排毒了。第二招，晨练拉拉筋。适当抻拉韧带有助身体气血畅通，甚至可起到祛痛和排毒的效果。第三招，多吃芽类蔬菜。如，豆芽、豆苗、春笋、蒜苗、芽菜等。 ",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_55,04/05/2014,1946,乐乐CY ,"转发微博
◆◆@中宏保险 
【职场态度】在职场中勤学好问是一种积极的工作态度，但是凡事都讲究把握好度，一旦过于依赖他人的帮助，不但会影响个人影响和形象，也会限制个人能力的提升。当确实需要别人帮助时，明确自己是去求教的，而不是简单的求助！在经过别人教导后，问题还是要自己去解决，困难还是要自己去解决。 ",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_56,04/05/2014,2058,乐乐CY ,"转发微博
◆◆@中宏保险 
【保险理念】当今社会，无论在职场工作还是家庭生活，女性的地位变得越来越重要，压力也越来越大。遗传因素、内分泌因素、不规律饮食习惯、晚婚晚育等原因使乳腺癌成为都市女性的“第一杀手”，且发病率呈逐年上升之势。保障专家提醒女性朋友应当及早预防乳腺癌，并为自己准备一笔足额的治疗康复费用。",Reader, @My Microblog,Neutral,G,Products/Service
Weibo_M_57,04/05/2014,2059,乐乐CY ,"转发微博
◆◆@中宏保险 
阳光不同，是因为心情不同。绿叶不同，是因为方向不同。生活就是这样，人生会面对不同的选择，不管你的选择是什么，请别忘记：路是自己走出来的，快乐是自己创造出来的！晚安！ ",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_58,04/05/2014,2100,乐乐CY ,"转发微博
◆◆@中宏保险 
【职场语录】1、压力最大的时候，效率可能最高。2、最忙的时候，学的东西可能最多。3、最惬意的时候，往往是失败的开始。4、寒冷到了极致时，太阳就要光临。5、少说多做，句句都会得到别人的重视。6、宽容不是软弱而是融合。 ",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_59,04/05/2014,2208,国寿邓蓉,"转发微博
◆
◆
@中宏保险
【健康养生】每天早上坚持两项运动，缓解颈椎病：1、两脚齐肩站立，头向上看，手高举，胳膊向后旋转360度，一共50次。2、背紧贴墙，两手平举贴墙向上举起，再回落，来回30下。每天只花5-10分钟，坚持一段时间就能看到效果。电脑族们，一起行动起来！",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_60,04/06/2014,715,glan_c,"转发微博
◆
◆
@中宏保险
【健康养生】春天万物复苏，是养肝的好时节。俗话说“吃啥补啥”，但对养肝来说，并非如此。尤其春季养肝更要少吃动物肝脏，否则可能引发各种不适，如口干舌燥、大便干赤、失眠、易怒等。建议多吃新鲜蔬菜，特别是具有芳香理气的果蔬，如茴香、芹菜、香椿、香菜、春笋、柑橘等。",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_61,04/06/2014,905,天使伊一,"转发微博
◆
◆
@中宏保险
清明多缅怀,有些人有些事有些爱,当我们懂得的时候他们已经离开,逝去的虽然回不来,但请珍惜现在。面对大海,春暖花开！早安！
| 转发(2) | 评论
4月5日 09:09来自中宏保险-皮皮时光机",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_62,04/06/2014,947,尘世精灵666,"转发微博
◆
◆
@中宏保险
一个人即使没有钱，也可以给予别人五样东西。第一，颜施，你可以用微笑与别人相处。第二，言施，对别人多说鼓励的话、安慰的话、称赞的话、谦让的话、温柔的话。第三，心施，敞开心扉,诚恳待人。第四，眼施，以善意的眼光去看别人。第五，身施，以行动去帮助别人。 早安！
(2)| 转发(7) | 评论
3月31日 08:12来自中宏保险-皮皮时光机",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_63,04/06/2014,958,"


 天使伊一 ","转发微博


◆◆


 @中宏保险 

能缓解嗓子疼的食物：1、香蕉是一种非酸性柔软水果，容易吞咽，所以不刺激嗓子。2、鸡汤具有抗炎功效，可缓解喉咙充血。3、柠檬汁＋蜂蜜有消炎抗菌作用，强强联合可更有效缓解嗓子疼痛不适。4、温热生姜茶或蜂蜜茶具有消炎止痒的作用，有助于缓解胸闷或紧张感。5、炒鸡蛋或鸡蛋白。 ",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_64,04/06/2014,1039,汕头华夏教育晚间作业辅导-6666 ,"行动证明一切[嘻嘻]


◆◆


 @中宏保险 

能看多远，靠的不是眼晴，而是眼光，有慧者看到千里之外，无知者看到百米之内！能走多远，靠的不是双脚，而是志向，鸿鹄志在苍宇，燕雀心系檐下！早安！",Reader,Received Comment,Neutral,G,Life Comprehend
Weibo_M_65,04/07/2014,825,中宏人寿杨蓓蓓," @中宏保险
【健康饮食】不同上火的食疗方法：1、肝火：耳鸣、眼干、口苦口臭。去火食方：川贝母冰糖梨汁、枸杞菊花茶。2、胃火：胃部灼热疼痛、口干口臭、大便稀烂、胃口不好。去火食方：鲜萝卜汁、绿豆粥、西瓜。3、肺火：咽干疼痛、咳嗽胸痛、干咳无痰。去火食方：猪肝枸杞菜、罗汉果猪肺汤。
(1)| 转发(1) | 评论
4月6日 18:00来自中宏保险-皮皮时光机",Reader, @My Microblog,Neutral,G,Health Information
